task,uids,word1,word2
OP,ant/worn_for_warmth,ant,warmth
OP,ant/worn_on_feet,ant,feet
OP,ant/hot,ant,hot
OP,ant/light_weight,ant,light
OP,ant/squishy,ant,squishy
OP,ant/unhealthy,ant,unhealthy
OP,ant/wet,ant,wet
OP,ant/words_on_it,ant,words
OP,ant/man_made,ant,man-made
OP,ant/fragile,ant,fragile
OP,apartment/a_tool,apartment,tool
OP,apartment/a_toy,apartment,toy
OP,apartment/an_animal,apartment,animal
OP,apartment/flies,apartment,fly
OP,apartment/swims,apartment,swim
OP,apartment/pairs,apartment,pairs
OP,apartment/eaten_in_summer,apartment,summer
OP,apartment/found_on_walls,apartment,walls
OP,apartment/has_peel,apartment,peel
OP,apartment/has_shelves,apartment,shelves
OP,apartment/produces_noise,apartment,sound
OP,apartment/cold,apartment,cold
OP,apartment/dangerous,apartment,dangerous
OP,apartment/decorative,apartment,decorative
OP,apartment/edible,apartment,edible
OP,apartment/electrical,apartment,electricity
OP,apartment/expensive,apartment,expensive
OP,apartment/fast,apartment,fast
OP,apartment/fun,apartment,fun
OP,apartment/hand_held,apartment,hand-held
OP,apartment/hard,apartment,hard
OP,apartment/heavy,apartment,heavy
OP,apartment/large,apartment,big
OP,apartment/loud,apartment,loud
OP,apartment/sharp,apartment,sharp
OP,apartment/shiny,apartment,shiny
OP,apartment/slimy,apartment,slimy
OP,apartment/smelly,apartment,smelly
OP,apartment/smooth,apartment,smooth
OP,apartment/tall,apartment,tall
OP,apartment/lives_in_water,apartment,water
OP,apartment/requires_gasoline,apartment,gasoline
OP,apartment/used_for_eating,apartment,eating
OP,apartment/used_for_cooking,apartment,cooking
OP,apartment/used_for_cleaning,apartment,cleaning
OP,apartment/used_by_children,apartment,children
OP,apartment/used_for_holding_things,apartment,holding
OP,apartment/used_for_killing,apartment,killing
OP,apartment/used_for_music,apartment,music
OP,apartment/used_for_transportation,apartment,transportation
OP,apartment/worn_for_warmth,apartment,warmth
OP,apartment/worn_on_feet,apartment,feet
OP,apartment/hot,apartment,hot
OP,apartment/light_weight,apartment,light
OP,apartment/squishy,apartment,squishy
OP,apartment/unhealthy,apartment,unhealthy
OP,apartment/wet,apartment,wet
OP,apartment/words_on_it,apartment,words
OP,apartment/man_made,apartment,man-made
OP,apartment/fragile,apartment,fragile
OP,apple/a_tool,apple,tool
OP,apple/a_toy,apple,toy
OP,apple/an_animal,apple,animal
OP,apple/flies,apple,fly
OP,apple/swims,apple,swim
OP,apple/pairs,apple,pairs
OP,apple/eaten_in_summer,apple,summer
OP,apple/found_on_walls,apple,walls
OP,apple/has_peel,apple,peel
OP,apple/has_shelves,apple,shelves
OP,apple/produces_noise,apple,sound
OP,apple/cold,apple,cold
OP,apple/dangerous,apple,dangerous
OP,apple/decorative,apple,decorative
OP,apple/edible,apple,edible
OP,apple/electrical,apple,electricity
OP,apple/expensive,apple,expensive
OP,apple/fast,apple,fast
OP,apple/fun,apple,fun
OP,apple/hand_held,apple,hand-held
OP,apple/hard,apple,hard
OP,apple/heavy,apple,heavy
OP,apple/large,apple,big
OP,apple/loud,apple,loud
OP,apple/sharp,apple,sharp
OP,apple/shiny,apple,shiny
OP,apple/slimy,apple,slimy
OP,apple/smelly,apple,smelly
OP,apple/smooth,apple,smooth
OP,apple/tall,apple,tall
OP,apple/lives_in_water,apple,water
OP,apple/requires_gasoline,apple,gasoline
OP,apple/used_for_eating,apple,eating
OP,apple/used_for_cooking,apple,cooking
OP,apple/used_for_cleaning,apple,cleaning
OP,apple/used_by_children,apple,children
OP,apple/used_for_holding_things,apple,holding
OP,apple/used_for_killing,apple,killing
OP,apple/used_for_music,apple,music
OP,apple/used_for_transportation,apple,transportation
OP,apple/worn_for_warmth,apple,warmth
OP,apple/worn_on_feet,apple,feet
OP,apple/hot,apple,hot
OP,apple/light_weight,apple,light
OP,apple/squishy,apple,squishy
OP,apple/unhealthy,apple,unhealthy
OP,apple/wet,apple,wet
OP,apple/words_on_it,apple,words
OP,apple/man_made,apple,man-made
OP,apple/fragile,apple,fragile
OP,apron/a_tool,apron,tool
OP,apron/a_toy,apron,toy
OP,apron/an_animal,apron,animal
OP,apron/flies,apron,fly
OP,apron/swims,apron,swim
OP,apron/pairs,apron,pairs
OP,apron/eaten_in_summer,apron,summer
OP,apron/found_on_walls,apron,walls
OP,apron/has_peel,apron,peel
OP,apron/has_shelves,apron,shelves
OP,apron/produces_noise,apron,sound
OP,apron/cold,apron,cold
OP,apron/dangerous,apron,dangerous
OP,apron/decorative,apron,decorative
OP,apron/edible,apron,edible
OP,apron/electrical,apron,electricity
OP,apron/expensive,apron,expensive
OP,apron/fast,apron,fast
OP,apron/fun,apron,fun
OP,apron/hand_held,apron,hand-held
OP,apron/hard,apron,hard
OP,apron/heavy,apron,heavy
OP,apron/large,apron,big
OP,apron/loud,apron,loud
OP,apron/sharp,apron,sharp
OP,apron/shiny,apron,shiny
OP,apron/slimy,apron,slimy
OP,apron/smelly,apron,smelly
OP,apron/smooth,apron,smooth
OP,apron/tall,apron,tall
OP,apron/lives_in_water,apron,water
OP,apron/requires_gasoline,apron,gasoline
OP,apron/used_for_eating,apron,eating
OP,apron/used_for_cooking,apron,cooking
OP,apron/used_for_cleaning,apron,cleaning
OP,apron/used_by_children,apron,children
OP,apron/used_for_holding_things,apron,holding
OP,apron/used_for_killing,apron,killing
OP,apron/used_for_music,apron,music
OP,apron/used_for_transportation,apron,transportation
OP,apron/worn_for_warmth,apron,warmth
OP,apron/worn_on_feet,apron,feet
OP,apron/hot,apron,hot
OP,apron/light_weight,apron,light
OP,apron/squishy,apron,squishy
OP,apron/unhealthy,apron,unhealthy
OP,apron/wet,apron,wet
OP,apron/words_on_it,apron,words
OP,apron/man_made,apron,man-made
OP,apron/fragile,apron,fragile
OP,armour/a_tool,armour,tool
OP,armour/a_toy,armour,toy
OP,armour/an_animal,armour,animal
OP,armour/flies,armour,fly
OP,armour/swims,armour,swim
OP,armour/pairs,armour,pairs
OP,armour/eaten_in_summer,armour,summer
OP,armour/found_on_walls,armour,walls
OP,armour/has_peel,armour,peel
OP,armour/has_shelves,armour,shelves
OP,armour/produces_noise,armour,sound
OP,armour/cold,armour,cold
OP,armour/dangerous,armour,dangerous
OP,armour/decorative,armour,decorative
OP,armour/edible,armour,edible
OP,armour/electrical,armour,electricity
OP,armour/expensive,armour,expensive
OP,armour/fast,armour,fast
OP,armour/fun,armour,fun
OP,armour/hand_held,armour,hand-held
OP,armour/hard,armour,hard
OP,armour/heavy,armour,heavy
OP,armour/large,armour,big
OP,armour/loud,armour,loud
OP,armour/sharp,armour,sharp
OP,armour/shiny,armour,shiny
OP,armour/slimy,armour,slimy
OP,armour/smelly,armour,smelly
OP,armour/smooth,armour,smooth
OP,armour/tall,armour,tall
OP,armour/lives_in_water,armour,water
OP,armour/requires_gasoline,armour,gasoline
OP,armour/used_for_eating,armour,eating
OP,armour/used_for_cooking,armour,cooking
OP,armour/used_for_cleaning,armour,cleaning
OP,armour/used_by_children,armour,children
OP,armour/used_for_holding_things,armour,holding
OP,armour/used_for_killing,armour,killing
OP,armour/used_for_music,armour,music
OP,armour/used_for_transportation,armour,transportation
OP,armour/worn_for_warmth,armour,warmth
OP,armour/worn_on_feet,armour,feet
OP,armour/hot,armour,hot
OP,armour/light_weight,armour,light
OP,armour/squishy,armour,squishy
OP,armour/unhealthy,armour,unhealthy
OP,armour/wet,armour,wet
OP,armour/words_on_it,armour,words
OP,armour/man_made,armour,man-made
OP,armour/fragile,armour,fragile
OP,ashtray/a_tool,ashtray,tool
OP,ashtray/a_toy,ashtray,toy
OP,ashtray/an_animal,ashtray,animal
OP,ashtray/flies,ashtray,fly
OP,ashtray/swims,ashtray,swim
OP,ashtray/pairs,ashtray,pairs
OP,ashtray/eaten_in_summer,ashtray,summer
OP,ashtray/found_on_walls,ashtray,walls
OP,ashtray/has_peel,ashtray,peel
OP,ashtray/has_shelves,ashtray,shelves
OP,ashtray/produces_noise,ashtray,sound
OP,ashtray/cold,ashtray,cold
OP,ashtray/dangerous,ashtray,dangerous
OP,ashtray/decorative,ashtray,decorative
OP,ashtray/edible,ashtray,edible
OP,ashtray/electrical,ashtray,electricity
OP,ashtray/expensive,ashtray,expensive
OP,ashtray/fast,ashtray,fast
OP,ashtray/fun,ashtray,fun
OP,ashtray/hand_held,ashtray,hand-held
OP,ashtray/hard,ashtray,hard
OP,ashtray/heavy,ashtray,heavy
OP,ashtray/large,ashtray,big
OP,ashtray/loud,ashtray,loud
OP,ashtray/sharp,ashtray,sharp
OP,ashtray/shiny,ashtray,shiny
OP,ashtray/slimy,ashtray,slimy
OP,ashtray/smelly,ashtray,smelly
OP,ashtray/smooth,ashtray,smooth
OP,ashtray/tall,ashtray,tall
OP,ashtray/lives_in_water,ashtray,water
OP,ashtray/requires_gasoline,ashtray,gasoline
OP,ashtray/used_for_eating,ashtray,eating
OP,ashtray/used_for_cooking,ashtray,cooking
OP,ashtray/used_for_cleaning,ashtray,cleaning
OP,ashtray/used_by_children,ashtray,children
OP,ashtray/used_for_holding_things,ashtray,holding
OP,ashtray/used_for_killing,ashtray,killing
OP,ashtray/used_for_music,ashtray,music
OP,ashtray/used_for_transportation,ashtray,transportation
OP,ashtray/worn_for_warmth,ashtray,warmth
OP,ashtray/worn_on_feet,ashtray,feet
OP,ashtray/hot,ashtray,hot
OP,ashtray/light_weight,ashtray,light
OP,ashtray/squishy,ashtray,squishy
OP,ashtray/unhealthy,ashtray,unhealthy
OP,ashtray/wet,ashtray,wet
OP,ashtray/words_on_it,ashtray,words
OP,ashtray/man_made,ashtray,man-made
OP,ashtray/fragile,ashtray,fragile
OP,asparagus/a_tool,asparagus,tool
OP,asparagus/a_toy,asparagus,toy
OP,asparagus/an_animal,asparagus,animal
OP,asparagus/flies,asparagus,fly
OP,asparagus/swims,asparagus,swim
OP,asparagus/pairs,asparagus,pairs
OP,asparagus/eaten_in_summer,asparagus,summer
OP,asparagus/found_on_walls,asparagus,walls
OP,asparagus/has_peel,asparagus,peel
OP,asparagus/has_shelves,asparagus,shelves
OP,asparagus/produces_noise,asparagus,sound
OP,asparagus/cold,asparagus,cold
OP,asparagus/dangerous,asparagus,dangerous
OP,asparagus/decorative,asparagus,decorative
OP,asparagus/edible,asparagus,edible
OP,asparagus/electrical,asparagus,electricity
OP,asparagus/expensive,asparagus,expensive
OP,asparagus/fast,asparagus,fast
OP,asparagus/fun,asparagus,fun
OP,asparagus/hand_held,asparagus,hand-held
OP,asparagus/hard,asparagus,hard
OP,asparagus/heavy,asparagus,heavy
OP,asparagus/large,asparagus,big
OP,asparagus/loud,asparagus,loud
OP,asparagus/sharp,asparagus,sharp
OP,asparagus/shiny,asparagus,shiny
OP,asparagus/slimy,asparagus,slimy
OP,asparagus/smelly,asparagus,smelly
OP,asparagus/smooth,asparagus,smooth
OP,asparagus/tall,asparagus,tall
OP,asparagus/lives_in_water,asparagus,water
OP,asparagus/requires_gasoline,asparagus,gasoline
OP,asparagus/used_for_eating,asparagus,eating
OP,asparagus/used_for_cooking,asparagus,cooking
OP,asparagus/used_for_cleaning,asparagus,cleaning
OP,asparagus/used_by_children,asparagus,children
OP,asparagus/used_for_holding_things,asparagus,holding
OP,asparagus/used_for_killing,asparagus,killing
OP,asparagus/used_for_music,asparagus,music
OP,asparagus/used_for_transportation,asparagus,transportation
OP,asparagus/worn_for_warmth,asparagus,warmth
OP,asparagus/worn_on_feet,asparagus,feet
OP,asparagus/hot,asparagus,hot
OP,asparagus/light_weight,asparagus,light
OP,asparagus/squishy,asparagus,squishy
OP,asparagus/unhealthy,asparagus,unhealthy
OP,asparagus/wet,asparagus,wet
OP,asparagus/words_on_it,asparagus,words
OP,asparagus/man_made,asparagus,man-made
OP,asparagus/fragile,asparagus,fragile
OP,avocado/a_tool,avocado,tool
OP,avocado/a_toy,avocado,toy
OP,avocado/an_animal,avocado,animal
OP,avocado/flies,avocado,fly
OP,avocado/swims,avocado,swim
OP,avocado/pairs,avocado,pairs
OP,avocado/eaten_in_summer,avocado,summer
OP,avocado/found_on_walls,avocado,walls
OP,avocado/has_peel,avocado,peel
OP,avocado/has_shelves,avocado,shelves
OP,avocado/produces_noise,avocado,sound
OP,avocado/cold,avocado,cold
OP,avocado/dangerous,avocado,dangerous
OP,avocado/decorative,avocado,decorative
OP,avocado/edible,avocado,edible
OP,avocado/electrical,avocado,electricity
OP,avocado/expensive,avocado,expensive
OP,avocado/fast,avocado,fast
OP,avocado/fun,avocado,fun
OP,avocado/hand_held,avocado,hand-held
OP,avocado/hard,avocado,hard
OP,avocado/heavy,avocado,heavy
OP,avocado/large,avocado,big
OP,avocado/loud,avocado,loud
OP,avocado/sharp,avocado,sharp
OP,avocado/shiny,avocado,shiny
OP,avocado/slimy,avocado,slimy
OP,avocado/smelly,avocado,smelly
OP,avocado/smooth,avocado,smooth
OP,avocado/tall,avocado,tall
OP,avocado/lives_in_water,avocado,water
OP,avocado/requires_gasoline,avocado,gasoline
OP,avocado/used_for_eating,avocado,eating
OP,avocado/used_for_cooking,avocado,cooking
OP,avocado/used_for_cleaning,avocado,cleaning
OP,avocado/used_by_children,avocado,children
OP,avocado/used_for_holding_things,avocado,holding
OP,avocado/used_for_killing,avocado,killing
OP,avocado/used_for_music,avocado,music
OP,avocado/used_for_transportation,avocado,transportation
OP,avocado/worn_for_warmth,avocado,warmth
OP,avocado/worn_on_feet,avocado,feet
OP,avocado/hot,avocado,hot
OP,avocado/light_weight,avocado,light
OP,avocado/squishy,avocado,squishy
OP,avocado/unhealthy,avocado,unhealthy
OP,avocado/wet,avocado,wet
OP,avocado/words_on_it,avocado,words
OP,avocado/man_made,avocado,man-made
OP,avocado/fragile,avocado,fragile
OP,axe/a_tool,axe,tool
OP,axe/a_toy,axe,toy
OP,axe/an_animal,axe,animal
OP,axe/flies,axe,fly
OP,axe/swims,axe,swim
OP,axe/pairs,axe,pairs
OP,axe/eaten_in_summer,axe,summer
OP,axe/found_on_walls,axe,walls
OP,axe/has_peel,axe,peel
OP,axe/has_shelves,axe,shelves
OP,axe/produces_noise,axe,sound
OP,axe/cold,axe,cold
OP,axe/dangerous,axe,dangerous
OP,axe/decorative,axe,decorative
OP,axe/edible,axe,edible
OP,axe/electrical,axe,electricity
OP,axe/expensive,axe,expensive
OP,axe/fast,axe,fast
OP,axe/fun,axe,fun
OP,axe/hand_held,axe,hand-held
OP,axe/hard,axe,hard
OP,axe/heavy,axe,heavy
OP,axe/large,axe,big
OP,axe/loud,axe,loud
OP,axe/sharp,axe,sharp
OP,axe/shiny,axe,shiny
OP,axe/slimy,axe,slimy
OP,axe/smelly,axe,smelly
OP,axe/smooth,axe,smooth
OP,axe/tall,axe,tall
OP,axe/lives_in_water,axe,water
OP,axe/requires_gasoline,axe,gasoline
OP,axe/used_for_eating,axe,eating
OP,axe/used_for_cooking,axe,cooking
OP,axe/used_for_cleaning,axe,cleaning
OP,axe/used_by_children,axe,children
OP,axe/used_for_holding_things,axe,holding
OP,axe/used_for_killing,axe,killing
OP,axe/used_for_music,axe,music
OP,axe/used_for_transportation,axe,transportation
OP,axe/worn_for_warmth,axe,warmth
OP,axe/worn_on_feet,axe,feet
OP,axe/hot,axe,hot
OP,axe/light_weight,axe,light
OP,axe/squishy,axe,squishy
OP,axe/unhealthy,axe,unhealthy
OP,axe/wet,axe,wet
OP,axe/words_on_it,axe,words
OP,axe/man_made,axe,man-made
OP,axe/fragile,axe,fragile
OP,backpack/a_tool,backpack,tool
OP,backpack/a_toy,backpack,toy
OP,backpack/an_animal,backpack,animal
OP,backpack/flies,backpack,fly
OP,backpack/swims,backpack,swim
OP,backpack/pairs,backpack,pairs
OP,backpack/eaten_in_summer,backpack,summer
OP,backpack/found_on_walls,backpack,walls
OP,backpack/has_peel,backpack,peel
OP,backpack/has_shelves,backpack,shelves
OP,backpack/produces_noise,backpack,sound
OP,backpack/cold,backpack,cold
OP,backpack/dangerous,backpack,dangerous
OP,backpack/decorative,backpack,decorative
OP,backpack/edible,backpack,edible
OP,backpack/electrical,backpack,electricity
OP,backpack/expensive,backpack,expensive
OP,backpack/fast,backpack,fast
OP,backpack/fun,backpack,fun
OP,backpack/hand_held,backpack,hand-held
OP,backpack/hard,backpack,hard
OP,backpack/heavy,backpack,heavy
OP,backpack/large,backpack,big
OP,backpack/loud,backpack,loud
OP,backpack/sharp,backpack,sharp
OP,backpack/shiny,backpack,shiny
OP,backpack/slimy,backpack,slimy
