cocoAnnID,cocoImgID,objectHuman,objectUID,vps
438061,44195,person,person,arch by;apply as;apply before;assemble on;bandage up towards;applaud for;admire for;perform with;commute with;call to;applaud for;clap for;photograph;ski with;talk to;practice with;admire like;climb with;ask about;applaud at;arrange for;aim at;beg to;race up to;waddle over to;paw at;nuzzle
428140,243148,person,person,call out to;communicate with;cook for;dance with;giggle at;hug;help;teach;applaud around;adjust behind;ail at;aim as;arrange about;lift up behind;sit down by;clap for;kneel down by;wrap around;crouch down to;help out;hug with;carry out;help;applaud;encourage;cheer on
464298,44195,person,person,admire over;ask about;call out to;ask of;bake like;attach in;assemble behind;ail around;ski towards;talk with;race down with;race;ski with;applaud;admire about;ask down;attack after;bet against;bother at;admire for;call out for;cheer for
608290,243148,skis,skis,wax;ski with;slide down on;skid on;descend on;adjust;check out;buy;autograph behind;apply by;apprehend at;adjust from;balloon up without;aim towards;circle around;fall off;ski with;drive with;walk with;fall with;crash with;adjust;aim;attach
33612,404484,tv,tv,walk over to;cheer to;applaud towards;ascend like;ascend for;arrest against;applaud against;ail of;ask about;cry out to;fix on;adjust;block;break;buy;check;walk over to;walk up to;break;unplug;tune;dust off;fix
621669,128675,kite,kite,cheer at;carry;wipe off with;baptize on;balloon on;ask without;arrest into;bandage on;surf with;swim to;practice with;chase after;lock at;study through;wave at;row from;swim towards;aim at;applaud about;talk about;swim to;admire at
203282,422706,person,person,offer with;peel like;provide for;sit by;sneeze as;block out;collide into;wait for;smell around;walk behind;admire;hug;frisk;ask about;smile towards;talk to;laugh with;eat with;drink without;dance behind;ask about;applaud for;lean towards;call out on;talk with;photograph;wave to;stand by;call out to;bake with;boat with;calm down;carry around;bike with;lean over with;stand behind;gather with;float with;squint towards
1217529,422706,person,person,attack like;apply around;apprehend before;apply for;ascend from;ask about;pray for;talk to;wave to;call out to;signal to;boat towards;ask;bother;celebrate;call out to;check out around;communicate with;descend down to;raft towards;wave off;admire;block out;curtsy
648357,128675,surfboard,surfboard,surf on;fall off;swim to;swim with;drive off with;bet about;adjust against;adjust before;ail about;ail against;push on;call to;attach to;ask on;scoop up;surf with;grind with;float on;race on;splash around;fall off;surf on;jump onto;swim by;break against
1995194,404484,teddy bear,teddy_bear,ask in;apprehend behind;adjust for;attack into;bandage over;pick up;carry around;sleep with;throw;rinse off;carry;dust off;lift up;pinch;sleep with;hang onto;aim at;complain about;ask about;curl up with;sleep with;snuggle up with;carry around;decorate with
1480760,128675,surfboard,surfboard,ask in;apprehend against;arch at;admire down;apprehend after;admire;clean;buy;fall off;stand on;dry off;stand on;lean on;swim with;ask for;calm down on;congregate around;break up over;descend down by;admire towards;applaud for;bet on;bounce on;carry out
183681,306700,person,person,communicate with;speak to;grin at;eat with;laugh with;smile at;talk to;eat with;laugh with;socialize with;apply for;arch as;arch by;arrange in;attack on;eat with;drink with;talk to;talk to;attack;photograph;discuss;glare at;smile at;walk over to;talk to
1436142,422706,handbag,handbag,ask about;pull on;knock over;cover up;dry off;knock over;sell;apprehend as;assemble down;apply behind;attach from;ascend from;admire over;ask about;bury without;kick over;ask about;walk over to;frown without;drive off with;carry;put down;open up;brush off;drop
1710792,128675,person,person,attach of;ask down;arrest behind;arrest by;barbecue on;admire;talk to;walk up to;ask to;bathe with;call out;communicate with;kick off;push off;applaud for;float over to;cry with;hang up on;admire;attack;applaud;call out;arrest to;swim to;whistle at;call out to
1074621,306700,pizza,pizza,slice;eat;distribute;chop up;eat;bite;buy;applaud for;adjust around;attack without;barbecue for;adjust on;admire;eat;beg for;fill up on;bake;admire;attack;bite;decorate;eat around;talk about;race towards;bite through;assemble over
609886,243148,skis,skis,ask about;autograph on;admire over;carry around;ski around;clean on;break out;buckle up with;attach like;arrest down;arrest at;arrest behind;ail against;grind with;clean off;pick out;gather up;adjust;wax;walk with;jump on;cling onto;put on;tear off;attach to;drop onto;carry off;strap down into;swoop down onto;climb up on;tip over against;swing with;unlock;lock;work out on;race on
2160360,128675,person,person,butter up off;clean up to;draw at;open as;help to;autograph like;attack on;bake into;bike down without;break down on;ask about;shout at;call out to;float over to;whistle at;swim with;talk to;help;ask about;encourage;swim towards;wave at;calm down;throw towards;pull up;yank out;salute;cheer up;cry out to;apprehend;haul up;heave up;hang out with;help;ski with;swim towards;surf with;help out;call out to
79735,102707,bottle,bottle,admire over;ask about;beg for;check out;clean off;fill;drink from;empty;wash out;clean;arrange into;arch behind;arrest down;applaud around;arch behind;fling;open up;empty out;check over;clean up around;empty out;examine in;rinse off by;fill;clean;wash;rinse;break;rinse out;autograph onto;camouflage down;clean out;empty out;pour out;pick out;ask about;arrest towards;balloon out like;ask like;apprehend by;attack on
592039,70158,zebra,zebra,admire;ask;discuss;read;sing;ask about;rest with;carry on without;dry off by;fall against;pat;brush;admire;admire;photograph;sketch;pat;poke;snuggle up to;stroke;feed;call to;bathe;hug
1161811,321333,teddy bear,teddy_bear,photograph with;curl up with;sleep with;apply off;attack in;bet without;attack by;ask for;hug;snuggle;smile at;sleep with;kiss;hug;admire;calm down with;caress;embrace;kiss;admire;nuzzle;curl up with;embrace with;scrub on
370933,385190,bottle,bottle,admire over;ask about;complain about;admire towards;ask about;complain about;arrest off;ascend of;attack from;ask around;apply down;kiss to;drive by;paint over;wash off;beg for;admire;ask about;complain about;drink from;fill up with;empty out from;heave in;leak into;paint;admire;fix up;sell;hike up;admire at;clean up around;jog towards;scrub after;wipe over;apply off;balloon out;arrest about;assemble by;ascend by
592091,70158,zebra,zebra,photograph;feed;help;admire;feed;hang out around;hug;kiss;arrange before;arrange behind;aim for;balloon out through;attach onto;run from;walk around;walk behind;ask for;calm down around;cry over;communicate with;film around;chase down;aim at;call out to;communicate with;gasp at
408176,385190,traffic light,traffic_light,drive towards;repair;discuss;complain about;race up to;race up to;run towards;baptize down;arrest by;ask for;applaud into;attach down;wait at;sprint through;crash at;disembark from;grimace about;break;hit;glare at;congregate at;turn at;adjust before;bake before;aim towards
592347,70158,zebra,zebra,arrange before;apply around;applaud before;arrest at;ask about;admire;ask about;applaud;chase around;admire about;pat behind;walk towards;walk up to;walk towards;communicate with;sit down by;call out to;admire;feed;check out;rub;pat;pat;smell;drool over
1249947,321333,person,person,attach around;ail behind;ascend before;aim as;aim behind;laugh with;giggle with;photograph;embrace;hug;carry;ask about;calm down by;communicate with;hug;kiss;lift up;attack;load up;whistle at
2159338,321333,person,person,balloon for;arch after;ail after;arch by;ascend in;ask about;help out;talk to;admire towards;bathe behind;autograph like;ascend by;pick up;feed;hug;admire;mourn;celebrate;giggle about;grin at;ask about;paint around;communicate with
459373,385190,person,person,call out towards;catch up to;walk with;ask about;speak to;walk by;check out;ask of;aim before;autograph on;apply in;adjust about;adjust at;waddle over to;walk towards;ask about;wave off;attack;bother;chase;confront;walk to;talk to;call out to
323250,154644,cell phone,cell_phone,balloon from;ask into;assemble in;arrange as;aim about;call with;wipe off;clean off;apprehend;talk into;check out;catch up with;walk towards;talk with;call with;work with;apprehend;write;wring out;speak on;break;ask for;smash;drop
1720533,243148,person,person,help out;call out to;walk towards;speak up against;bandage up out;balloon out off;balloon like;balloon out of;attack on;applaud for;hug on;call out to;sit down behind;walk towards;ask about;help out;crouch down by;applaud for;photograph with;compete against;talk to;ski with;admire behind;giggle around;kneel down by;talk to
374914,138550,chair,chair,apply about;check about;clean up off;ask on;buy;adjust;sit in;check out;paint;apply against;aim as;adjust about;adjust against;applaud from;brush off;bounce onto;check out;clean off;flip from;sit on;lean on;stand up on;wait on;rest on;sit down on;sit in;walk over to;walk towards
475568,385190,person,person,race up to;run to;talk to;write on;admire;study;draw;arrest from;ascend by;ask from;autograph on;balloon to;admire over;walk over to;examine by;catch up by;dip down against;film towards;nag about;scratch out;admire;block out;paint over;brush off
442601,173008,person,person,ask;bother;call out to;cheer up;ask in;attach in;assemble from;adjust against;aim down;eat with;stand towards;salute to;talk to;eat with;communicate with;walk around;laugh with;eat with;talk to;clean up with;clean up without;encourage;kick;kneel down to;admire;bake for;call out to
487881,154644,person,person,ask about;calm down without;complain to;grieve around;rest behind;frown at;complain about;educate;ask in;arrest at;applaud about;apprehend at;ascend as;call;whistle at;brush against;ask about;check out;brush off;laugh with;cheer up;shout at;cry out to;slap
1044066,173008,banana,banana,talk to;attach on;bother with;break through;caress onto;admire for;arrange behind;ail at;arch for;assemble behind;eat;chew;bite off;peel;eat;chew on;slice;bite down onto;cart off;hang onto;peel down;throw down;bite on;eat on;peel on
417376,138550,fire hydrant,fire_hydrant,paint over;carve on;cover from;sweep from;rinse off without;congregate by;aim for;complain about;grimace at;fall over;sit on;extinguish with;wash off with;lean on;walk around;jump over;bike by;drive by;break down;clean off;kneel on;ask about;paint on;write on;walk up to;skip over
1203415,385190,person,person,hunch down by;kneel around;clean around;drink with;intermingle by;discuss about;gamble after;farm like;attack about;adjust around;apply as;ail about;apply around;walk over to;wave to;wink at;smile at;admire;throw up against;signal to;pray for;dance around;crawl over to;laugh at;lean on;admire;cover up;shout at;sing with;applaud;walk towards;walk over to;talk to;walk over to;stand by;walk to;push on;talk about;lean on;admire after;carve out behind;stand against
1051505,173008,orange,orange,eat;peel;bite into;slice into;pick at;admire over;ask about;beg for;bite down into;fill up on;open;peel;eat;fish out;carry;aim for;peel off;drive off with;cry without;drool over;eat;bite into;pick up;eat;squeeze;juggle;throw;peel
1119249,173008,microwave,microwave,bake in;clean;open up;sell;clean;ignore;wash out;applaud of;arrest after;ask for;ail from;bake on;clean behind;pull down;dust off by;decorate by;drink by;apply towards;adjust around;apprehend before;arrange for;arch down;turn on;turn off;fill;empty out;cook with
5437,427034,dog,dog,arrest by;admire as;aim at;admire by;ascend of;clean;call;feed;pat;smile at;call to;signal at;feed;beg with;brush off down;spread out with;waddle over into;whistle for;pat on;rub on;admire of;give to;crouch down by;pat on;nuzzle with;communicate with;talk to
482173,312489,person,person,ascend from;ascend from;apprehend around;aim around;aim as;cheer to;apply for;call to;drop on;admire;cheer on;pump up;call to;talk to;stand by;help out;walk with;admire;encourage;ignore;record;ask about;applaud behind;assemble around;aim towards
1128416,173008,toaster,toaster,block out into;bake onto;attack for;admire before;ail by;cook with;cover;pack up;butter on;bake on;clean on;cook on;eat on;cook with;eat by;push on;pull out of;adjust around;ask about;assemble by;apply before;aim behind;cook on;clean up around;ask about;aim at;clear off
191162,427034,person,person,talk to;walk with;hang out with;talk with;call for;hang out with;balloon against;arch for;assemble for;ask from;ask from;distract;discipline;signal;educate;ask about;applaud for;celebrate with;call out to;write about;communicate with;talk to;sit down by
1090923,138550,dining table,dining_table,wait at;adjust;brush off;eat at;drink at;sit at;kick over;jump onto;eat at;bandage of;attach for;arrest for;ascend from;bike over;eat off;embrace;sit down at;catch up at;kick over;flip behind;decorate around;dance on;fold;assemble;clear
1576550,173008,cake,cake,pick up;eat;admire;rinse off;arrange of;bake against;attach like;assemble off;admire as;bite into;eat;admire;smash;admire like;aim against;arch as;applaud before;arrange at;eat;distribute;bite down on;slice into;eat;mash;march up;mash up;slice
1104020,427034,laptop,laptop,bandage;bite off;bandage of;apprehend by;ail like;ask about;block around;bake by;bounce at;bake off;work on;pack up;dust off;smear;admire;brush off;browse from;carry on;frown towards;brush against;ask about;browse through;communicate on;educate with;read from;work on
653512,312489,surfboard,surfboard,pick up;fall off;crest on;jump onto;sit on;flip on;arrange against;attach of;arrest for;bake like;ascend by;climb onto;kneel on;stand on;jump off;wax;stand up on;surf with;strap on;lift up;race up to;run on
157106,131386,airplane,airplane,aim like;autograph off;attack onto;baptize off;bake with;load into;aim at;applaud for;calm of;break out;cheer about;burn up as;admire over;applaud with;autograph towards;pilot in;aim from;attack from;swoop up in;dive down in;applaud;photograph;examine
1578058,173008,cake,cake,carry;eat;examine;give up;lick;attach onto;attack from;assemble in;attach on;balloon of;admire over;ask about;beg for;carve into;decorate on;tip over;bake with;break down;carry off;celebrate with;eat;admire;slice;carve;bite into;taste
1802046,312489,boat,boat,arrange about;arrest down;ail around;aim at;arch down;admire over;ask about;call out to;swarm;swim to;race to;float to;float in;row in;jump off;stand on;swarm;swim to;jump up on;aim towards;row out to;signal for;check out;circle around
1578395,173008,cake,cake,eat;slice;serve out;bandage with;board onto;attack as;applaud as;aim into;push on;throw on;attack on;clap into;eat through;wrap in;taste of;throw out;chew through;slice off;taste;eat;eat;measure out;mash up;mash
1666019,427034,clock,clock,adjust;admire;block out;check out;clean;buy;ask about;adjust;pick up;tune;assemble;ask about;admire at;display;fix;read;grin at;hit at;stand up by;cook without;film around;crawl over towards;frown at;brush off;wipe off;carry off;clean off
159116,131386,airplane,airplane,climb onto;clean off;wipe off;wave at;admire;fix;dock;dive down with;balloon to;ask into;bake from;arrange like;ail against;flip over;turn over;steer;ail over;balloon out into;arrest of;barbecue of;admire for;admire;photograph;wave at;climb into;cheer at
1578610,173008,cake,cake,eat into;throw out;serve;eat off;ask about;slice off;attach of;baptize towards;bet towards;attach onto;balloon out without;bite;eat;admire;bite down onto;chew;eat into;admire at;arrange around;dust off over;unpack after;eat on;admire of;stand by
161511,131386,airplane,airplane,ask of;ask down;autograph down;arrange for;attach through;apply around;aim against;apprehend at;beg around;bike down around;wave at;videotape;salute;photograph;paint;admire;call out to;draw;admire;applaud;cheer for;admire;buy;crash;hang out in;load up;admire;ask about;photograph;apply in;ask without;attack;attach about;ail about;branch off from;block off;clear like;balloon out like;adjust like
1578654,173008,cake,cake,bite on;attack on;admire to;apprehend for;arrange against;ascend about;arch onto;bake off;bike down onto;carry off;eat into;adjust before;aim as;applaud as;admire down;ask against;autograph around;cook around;hang out with;bite into;eat;lean over
2066936,427034,dog,dog,admire at;ask about;glare at;smile at;recuperate without;dance for;ask about;pounce at;whistle at;pat;hug;scratch;feed;glare at;giggle at;lean in towards;smile at;laugh at;discipline;pat;admire;guard;arrange;buy;cover up
57829,488251,horse,horse,bathe;brush;catch up with;exercise;feed;bathe behind;admire around;apply before;arrange at;apply at;admire;feed;pat;photograph;brush;pat;reassure;brush on;climb off;caress over;commute with;clean on;climb up on;photograph;pat
1641880,173008,oven,oven,braid into;apprehend like;applaud as;ask down;aim onto;bake in;barbecue in;cook in;clean out;clean up behind;adjust;bake in;clean;repair;cook with;open up;bake with;turn on;bake with;scrub;clean behind;unplug;bake in;clean;open;fix
281005,215723,umbrella,umbrella,attack behind;ail in;aim behind;ail down;applaud about;stand before;admire with;race towards;duck down by;glare at;carry;open;pick up;parachute down with;hang onto;giggle about;smile about;ask about;stand by;adjust;walk over to;adjust with;crouch down with;hang onto;open up with;storm off with
1882924,173008,cup,cup,give to;crush on;carry on;fix to;autograph after;apprehend at;applaud behind;arrange before;arch about;talk about;pick up;drink from;drink out;admire towards;clean up around;fill up;rinse out;pick up;attack into;balloon towards;beg out;assemble on;aim behind
183598,488251,person,person,arrest;applaud;call;communicate with;clean up;whistle at;pay off;catch up with;spy on;kneel down before;applaud off;braid on;bathe without;bite to;applaud about;admire;applaud;decorate;hoist;photograph;sit with;applaud;bow to;speak to;photograph;smile at;speak with
125429,473118,bicycle,bicycle,sit on;pedal with;wash off;ask about;sketch by;attach into;arch by;arrest before;arrange behind;arch around;ask about;jump onto;leap from;walk to;unload;tip over;tap over;climb onto;push over;walk over to;pedal;sit on;adjust;walk towards;repair;race with;fall onto;carry around;adjust on;bike on;sit on;admire on;climb up on;build up onto;cover up for;mend against;jump on;smile about;stand behind;sit on;lock at
347788,215723,car,car,drive in;sleep in;buckle up in;fill up in;light up in;admire over;bounce up onto;complain towards;aim down;arrest in;ask into;ascend like;ask about;block;buy;hit;punch;snuggle up;walk over by;wait for;stand by;walk around;sit in;march up to;operate
1218260,488251,person,person,wave to;call to;ignore;laugh at;stand up by;gasp at;attack of;attack into;attack off;autograph over;bake off;march up to;walk to;run to;speak to;wave at;call out to;catch up to;help;call;ask about;examine
200685,473118,person,person,trip over;push over;cheer on;clap for;attach like;ascend by;adjust by;apply against;ail down;applaud to;pray for;whistle at;celebrate with;skate with;admire;ask;cheer on;applaud;photograph;admire;applaud;cheer for;clap for;encourage;photograph;applaud for;walk up to;call out towards;gasp at;photograph with;tune out around;bike with;skate around;measure up against;applaud for;drag off;push down;collide with;ask about;jump over
