affordancesNo,affordancesYes,cocoAnnID,cocoImgID,objectHuman,objectUID
"gather,bury,strap","stir,wipe,wash",1901934,135561,bowl,bowl
"butt,clench,buckle","storm,wipe,clean",1903705,135561,bowl,bowl
"comb,fling,cough","wash,rinse,clean",1982842,135561,sink,sink
"plant,hit,brew","wipe,drink,rinse",2100426,135561,cup,cup
"rock,bathe,slice","ask,drink,open",2182159,135561,bottle,bottle
"strip,sleep,clip","open,repair,clean",332476,135561,refrigerator,refrigerator
"tow,submerge,sprout","tune,turn,adjust",334103,135561,clock,clock
"march,ask,scratch","kick,sit,eat",1090923,138550,dining table,dining_table
"peel,guard,ail","adjust,check,sit",374914,138550,chair,chair
"jog,record,rain","wipe,sit,pull",380455,138550,chair,chair
"pick,pat,heave","write,paint,walk",417376,138550,fire hydrant,fire_hydrant
"plow,pick,poke","skate,applaud,throw",1844908,139883,frisbee,frisbee
"unlock,officiate,disembark","pick,aim,throw",603170,139883,frisbee,frisbee
"exterminate,prick,measure","poke,push,throw",603417,139883,frisbee,frisbee
"shake,mold,urinate","autograph,bite,push",604670,139883,frisbee,frisbee
"sniff,tear,shake","adjust,smell,bite",1075422,146489,pizza,pizza
"uncork,cough,whisk","admire,eat,clean",1091907,146489,dining table,dining_table
"ford,release,leap","pick,drink,wash",1497192,146489,wine glass,wine_glass
"bite,provide,spear","call,pick,open",323423,146489,cell phone,cell_phone
"juggle,bake,plummet","drink,celebrate,pour",661669,146489,wine glass,wine_glass
"lap,glare,sign","break,drink,clean",86514,146489,bottle,bottle
"star,rest,pout","break,drive,clean",2039736,146498,car,car
"taste,disembark,steer","drive,race,wash",2044849,146498,car,car
"heave,whistle,signal","drive,walk,run",2045032,146498,car,car
"apply,commute,plummet","drive,walk,admire",2045928,146498,car,car
"laugh,brush,giggle","photograph,drive,wash",2046535,146498,car,car
"star,socialize,cram","signal,drive,run",344385,146498,car,car
"forage,mine,tattoo","spear,taste,eat",1055897,153510,broccoli,broccoli
"pilot,wet,rehabilitate","tear,pick,eat",1057833,153510,broccoli,broccoli
"rake,wrinkle,rock","bite,chew,eat",1560638,153510,broccoli,broccoli
"pay,peel,pinch","waddle,pick,eat",1562097,153510,broccoli,broccoli
"hoist,shop,pry","bite,throw,eat",1565403,153510,carrot,carrot
"unload,officiate,retrieve","cook,pick,balloon",1914584,153510,broccoli,broccoli
"spank,paste,smear","ask,walk,admire",1250844,154644,person,person
"sneeze,kick,frisk","call,ask,talk",323250,154644,cell phone,cell_phone
"juggle,snuggle,craft","complain,ask,brush",487881,154644,person,person
"butt,sing,bounce","tip,trip,drink",665424,154644,wine glass,wine_glass
"hike,bite,spoil","call,feed,admire",596215,157098,giraffe,giraffe
"shave,gasp,rid","call,photograph,admire",598071,157098,giraffe,giraffe
"dance,twirl,harvest","ask,feed,admire",599126,157098,giraffe,giraffe
"nail,unplug,poke","walk,check,admire",1820374,16010,cow,cow
"weigh,perspire,dock","walk,feed,admire",1820429,16010,cow,cow
"examine,mold,stampede","stand,walk,admire",2070488,16010,zebra,zebra
"ford,squeeze,crest","tip,videotape,walk",278208,16010,cow,cow
"confront,swoop,queue","photograph,videotape,talk",589000,16010,zebra,zebra
"wrap,write,camp","buy,pick,admire",1154752,161397,vase,vase
"shiver,farm,break","ask,balloon,admire",1154965,161397,vase,vase
"laugh,chop,shred","communicate,balloon,admire",2026707,161397,person,person
"grieve,stroke,shop","arch,arrange,sit",100419,163682,chair,chair
"interview,bite,hitchhike","call,talk,lecture",1732639,163682,person,person
"score,taxi,hurl","yank,adjust,admire",293266,163682,tie,tie
"lick,flap,wait","ask,arrange,clean",1644291,164602,sink,sink
"say,sketch,vault","bubble,wash,clean",1981933,164602,sink,sink
"bury,sneeze,jog","applaud,hang,adjust",2205667,164602,person,person
"tow,wag,bet","break,brush,chew",343351,164602,toothbrush,toothbrush
"bother,milk,heave","carry,rinse,clean",343534,164602,toothbrush,toothbrush
"hoe,perform,measure","arrest,ask,aim",439735,164602,person,person
"scrap,float,pot","photograph,smile,shout",1821742,165500,bear,bear
"wax,skid,recuperate","videotape,run,admire",586757,165500,bear,bear
"phone,gasp,chisel","arrest,photograph,run",587948,165500,bear,bear
"carve,mow,pull","arch,ask,admire",444904,166165,person,person
"restrain,stretch,yawn","cheer,applaud,admire",452210,166165,person,person
"button,distribute,recuperate","swing,shop,throw",659862,166165,tennis racket,tennis_racket
"plant,sign,ram","strike,swing,hit",660655,166165,tennis racket,tennis_racket
"drag,run,manicure","drive,walk,clean",1345019,168330,car,car
"grind,pucker,burn","arrest,walk,jog",1352285,168330,car,car
"water,suck,ski","strike,walk,admire",1664370,168330,clock,clock
"board,drip,slouch","drive,wash,admire",2039728,168330,car,car
"prowl,pinch,fling","walk,check,admire",339521,168330,clock,clock
"pray,construct,hitchhike","ask,drive,check",347865,168330,car,car
"cover,duck,crown","bike,drive,walk",417927,168330,fire hydrant,fire_hydrant
"lather,retrieve,juggle","peel,bite,eat",1044066,173008,banana,banana
"smash,interrogate,gnaw","peel,bite,eat",1051505,173008,orange,orange
"laugh,lift,shear","turn,bake,clean",1119249,173008,microwave,microwave
"jump,block,submerge","cook,eat,clean",1128416,173008,toaster,toaster
"place,burn,mold","taste,chew,eat",1541959,173008,banana,banana
"vault,sleep,commute","slice,admire,eat",1576550,173008,cake,cake
"empty,taxi,farm","carve,carry,eat",1578058,173008,cake,cake
"sweep,repair,douse","taste,throw,eat",1578395,173008,cake,cake
"fuel,dock,hoist","smell,bite,eat",1578455,173008,cake,cake
"pry,educate,bike","admire,bite,eat",1578610,173008,cake,cake
"hitchhike,plow,wipe","admire,bite,eat",1578654,173008,cake,cake
"giggle,gnaw,jog","bake,open,clean",1641880,173008,oven,oven
"attach,communicate,race","pick,talk,drink",1882924,173008,cup,cup
"reassure,storm,display","carve,clip,carry",1994872,173008,scissors,scissors
"haul,shake,slither","slice,bite,eat",2119386,173008,cake,cake
"pilot,place,spread","bake,cook,clean",2228473,173008,oven,oven
"hit,brawl,fuel","storm,tear,eat",2231233,173008,cake,cake
"carry,color,rot","talk,eat,clean",442601,173008,person,person
"shop,whisk,milk","tap,pick,clean",1107535,186282,mouse,mouse
"wave,fry,mend","type,sit,clean",1115843,186282,keyboard,keyboard
"gamble,rear,preach","turn,applaud,adjust",29571,186282,tv,tv
"heave,dial,hitchhike","drive,wash,clean",1784035,194716,car,car
"teach,drop,rid","talk,communicate,laugh",2161340,194716,person,person
"dry,protest,apprehend","pick,talk,put",323903,194716,cell phone,cell_phone
"package,launch,stuff","autograph,tickle,wave",479581,194716,person,person
"prowl,erupt,pay","fill,stand,wash",1133279,197796,sink,sink
"climb,dial,snow","pick,pour,apply",371260,197796,bottle,bottle
"surf,rain,instal","spray,carry,clean",371432,197796,bottle,bottle
"chew,misbehave,pot","adjust,admire,clean",81517,197796,bottle,bottle
"flick,unlock,sit","spray,wash,clean",91994,197796,bottle,bottle
"slap,storm,wheel","pick,spray,clean",93122,197796,bottle,bottle
"haul,spear,snuggle","squeeze,shake,clean",94226,197796,bottle,bottle
"slouch,stumble,pout","shave,call,wash",63253,198960,sheep,sheep
"rot,ail,guard","call,walk,admire",66848,198960,sheep,sheep
"tie,throw,deflect","shear,walk,admire",67945,198960,sheep,sheep
"din,clear,suck","aim,swing,fetch",1460943,203864,sports ball,sports_ball
"videotape,eat,soar","work,talk,walk",494225,203864,person,person
"wrinkle,sketch,offer","ask,work,talk",504454,203864,person,person
"release,confront,phone","swing,yank,practice",657072,203864,tennis racket,tennis_racket
"spoil,record,land","ask,aim,carry",659888,203864,tennis racket,tennis_racket
"fetch,prune,juggle","ask,swim,jump",1377357,213033,boat,boat
"suck,repair,frown","autograph,ascend,walk",1377429,213033,boat,boat
"butt,stitch,douse","swim,row,admire",1377553,213033,boat,boat
"pee,kneel,till","board,swim,walk",175955,213033,boat,boat
"pack,rake,paste","ask,talk,walk",194291,213033,person,person
"lather,attach,prune","aim,shake,adjust",282459,213033,umbrella,umbrella
"nail,steer,juggle","tune,yawn,admire",149579,214192,motorcycle,motorcycle
"sprint,vote,hit","cheer,applaud,admire",193774,214192,person,person
"shush,tackle,stitch","ask,applaud,admire",206977,214192,person,person
"braid,waddle,hit","race,adjust,admire",246444,214192,motorcycle,motorcycle
"pounce,restrain,mime","drive,walk,clean",2052343,215723,truck,truck
"interrogate,celebrate,measure","stand,open,hang",281005,215723,umbrella,umbrella
"tug,circle,make","wait,ask,walk",347788,215723,car,car
"pat,erupt,spear","complain,frown,drive",404899,215723,traffic light,traffic_light
"swim,slap,snow","ail,call,ask",436397,215723,person,person
"bounce,hurl,skip","wink,ask,talk",483966,215723,person,person
"feed,give,water","pick,talk,admire",1160458,219283,teddy bear,teddy_bear
"admire,commute,plummet","aim,applaud,eat",1544487,219283,banana,banana
"clench,descend,gnaw","arch,aim,write",1545556,219283,banana,banana
"pour,give,staple","apprehend,draw,throw",1545738,219283,banana,banana
"drag,skip,laugh","fill,rinse,clean",1900096,219283,bowl,bowl
"aim,reassure,dye","wipe,bake,eat",1062127,221872,carrot,carrot
"educate,pucker,arrest","pick,bite,eat",1063423,221872,carrot,carrot
"reassure,shear,knead","bake,chew,eat",1064828,221872,carrot,carrot
"gasp,interview,parachute","wipe,wash,eat",1517467,221872,fork,fork
"drench,read,hunt","fill,eat,clean",1899304,221872,bowl,bowl
"comb,cram,hoe","attach,admire,eat",1901563,221872,bowl,bowl
"prune,check,juggle","sit,wash,eat",1902301,221872,bowl,bowl
"erase,deflect,prune","wipe,type,adjust",1103352,22371,laptop,laptop
"cram,shear,sit","pick,write,talk",1649404,22371,book,book
"fetch,tear,communicate","autograph,yank,admire",293120,22371,tie,tie
"teach,flame,microwave","ask,walk,sit",495620,22371,person,person
"wrap,uncork,wet","ask,walk,run",1407523,224093,cow,cow
"package,shovel,spy","whistle,call,work",2069618,224093,cow,cow
"ignore,ski,preach","climb,walk,admire",73390,224093,cow,cow
"confront,smell,arch","milk,pat,feed",74097,224093,cow,cow
"detain,wet,erupt","whistle,wave,admire",75310,224093,cow,cow
"urinate,stoop,brew","milk,pat,feed",75937,224093,cow,cow
"dance,tie,spill","whistle,walk,run",77048,224093,cow,cow
"examine,hunt,serve","bite,throw,eat",1067600,226130,hot dog,hot_dog
"run,drag,splash","pick,bite,eat",1069840,226130,hot dog,hot_dog
"press,ram,caress","wipe,lean,sit",1612901,226130,dining table,dining_table
"run,rest,stroke","yawn,attach,balloon",1786177,227511,car,car
"spy,nail,wrap","buckle,ask,drive",1786506,227511,car,car
"pedal,sleep,recuperate","steer,drive,sit",347459,227511,car,car
"milk,mow,chop","turn,drive,assemble",347647,227511,car,car
"package,shrug,spear","ask,walk,run",360979,227511,car,car
"interrogate,pucker,decorate","aim,assemble,wash",361983,227511,car,car
"tie,decompose,coach","work,walk,balloon",416022,227511,fire hydrant,fire_hydrant
"tow,decompose,film","read,type,throw",324641,229216,cell phone,cell_phone
"sprinkle,harvest,jump","talk,wave,rub",484075,229216,person,person
"pat,push,hug","ask,talk,communicate",518161,229216,person,person
"dance,tilt,construct","call,attack,feed",271713,23230,bird,bird
"fasten,crown,run","whistle,swim,study",272462,23230,bird,bird
"claw,package,bow","call,photograph,swim",272891,23230,bird,bird
"swarm,shop,aim","call,ask,admire",38035,23230,bird,bird
"mend,wag,poke","sit,wash,clean",1096997,232649,toilet,toilet
"brush,dye,mow","balloon,wash,rinse",1134527,232649,sink,sink
"unpack,stampede,scoop","talk,admire,clean",1722650,232649,person,person
"open,pick,smash","call,snuggle,walk",1407965,233567,cow,cow
"fall,place,open","release,shear,feed",1818414,233567,sheep,sheep
"applaud,drum,splash","shear,pat,feed",64629,233567,sheep,sheep
"eject,ignite,wipe","walk,pat,feed",65506,233567,sheep,sheep
"perform,sharpen,scrub","ascend,attack,feed",66577,233567,sheep,sheep
"walk,till,stitch","call,ask,write",67488,233567,sheep,sheep
"waddle,squeeze,preach","shave,shear,feed",67591,233567,sheep,sheep
"shiver,fling,erupt","strike,swing,chase",302994,237071,sports ball,sports_ball
"laugh,trim,ram","serve,talk,walk",421607,237071,person,person
"nip,eject,craft","swing,hit,throw",658784,237071,tennis racket,tennis_racket
"stretch,retrieve,cart","fill,examine,clean",1132819,239041,sink,sink
"eat,cough,embrace","ail,turn,adjust",1676042,239041,hair drier,hair_drier
"sketch,eat,empty","fill,pump,wash",2094161,239041,bottle,bottle
"row,lean,cling","tune,turn,adjust",30662,239041,tv,tv
"button,nuzzle,distribute","photograph,pat,sit",1818183,23937,sheep,sheep
"cough,squint,sneeze","walk,feed,admire",2068974,23937,cow,cow
"decompose,grieve,lap","photograph,walk,feed",2069536,23937,cow,cow
"hitchhike,balloon,taste","call,walk,hang",2069712,23937,cow,cow
"skate,spoil,pucker","camp,walk,admire",278823,23937,cow,cow
"beg,help,nip","tip,walk,pat",278903,23937,cow,cow
"wait,kick,count","call,walk,admire",1728036,239773,person,person
"tear,teach,record","adjust,admire,clean",1859068,239773,baseball glove,baseball_glove
"unplug,shiver,bubble","swing,hit,pitch",303400,239773,sports ball,sports_ball
"bulldoze,crush,retrieve","cheer,chase,admire",500446,239773,person,person
"congregate,stoop,wrap","autograph,swing,admire",631558,239773,baseball bat,baseball_bat
"parachute,float,ascend","ask,catch,put",634647,239773,baseball glove,baseball_glove
"reassure,eat,bake","talk,walk,balloon",1720533,243148,person,person
"cling,cheerlead,block","help,applaud,hug",428140,243148,person,person
"ascend,tickle,crush","ski,adjust,fall",608290,243148,skis,skis
"give,turn,apprehend","arrest,carry,clean",609886,243148,skis,skis
"phone,plant,tackle","arrest,race,pedal",1333569,245173,bicycle,bicycle
"weep,rear,ignite","lock,bike,walk",1335240,245173,bicycle,bicycle
"guard,stroke,poop","walk,admire,repair",340353,245173,clock,clock
"shoot,weigh,stroke","wipe,type,adjust",1103744,246308,laptop,laptop
"write,detain,sharpen","break,aim,clean",1105510,246308,mouse,mouse
"spread,vacuum,detain","work,type,sit",1115126,246308,keyboard,keyboard
"embrace,kiss,slouch","twirl,adjust,sit",1580725,246308,chair,chair
"tug,poop,train","tune,turn,adjust",32189,246308,tv,tv
"wipe,gather,squeeze","turn,bake,clean",1125889,248111,oven,oven
"stuff,braid,drive","wipe,wash,clean",1132926,248111,sink,sink
"open,cough,shiver","ask,walk,examine",1430684,248111,handbag,handbag
"stampede,drool,farm","open,tilt,pour",1870483,248111,bottle,bottle
"ignore,twirl,curtsy","fill,cover,clean",1879789,248111,cup,cup
"smear,shovel,dissect","ask,load,clean",331811,248111,refrigerator,refrigerator
"whisk,embrace,milk","arch,ask,wave",1247331,249643,person,person
"operate,handcuff,din","descend,climb,walk",171389,249643,train,train
"strike,intermingle,scoop","race,assemble,admire",172889,249643,train,train
"pucker,sleep,rinse","empty,admire,carry",1172968,250127,handbag,handbag
"trip,wipe,flip","call,talk,type",1636567,250127,cell phone,cell_phone
"spread,make,recuperate","board,walk,run",170378,250127,train,train
"read,douse,steer","ask,talk,walk",184031,250127,person,person
"press,subdue,curl","pack,admire,carry",284298,250127,umbrella,umbrella
"rear,cling,shrug","break,bite,eat",1916988,250766,carrot,carrot
"tune,punt,unveil","sit,repair,scrub",1961461,250766,dining table,dining_table
"crest,flick,pack","aim,bite,eat",2218964,250766,sandwich,sandwich
"hunch,submerge,bulldoze","serve,wipe,eat",687378,250766,fork,fork
"dive,attack,erupt","apprehend,wipe,yank",695997,250766,knife,knife
"grind,cling,stuff","stand,open,read",1147150,251824,book,book
"swim,cling,ski","wipe,slice,pick",1158406,251824,scissors,scissors
"display,eat,wave","help,assemble,brush",2162297,251824,person,person
"shoot,make,seal","wipe,urinate,clean",1093329,255401,toilet,toilet
"drool,shrug,buckle","fill,wash,clean",1133613,255401,sink,sink
"pay,say,pot","check,throw,clean",1487758,255401,bottle,bottle
"block,instal,waddle","ask,throw,clean",1865461,255401,bottle,bottle
"work,camp,measure","urinate,sit,clean",1967506,255401,toilet,toilet
"glow,preach,ram","slice,tear,wash",1158260,255483,scissors,scissors
"block,submerge,storm","ascend,read,assemble",1987332,255483,book,book
"poop,stack,aim","arch,call,ask",449498,255483,person,person
"pry,stand,balloon","wipe,sit,clean",1095822,257169,toilet,toilet
"float,drip,pedal","turn,whip,bake",1188308,257169,hair drier,hair_drier
"write,comb,shout","ail,talk,admire",1216289,257169,person,person
"swarm,kneel,grin","ascend,ask,clean",2211601,257169,handbag,handbag
"open,push,sing","block,catch,throw",1447999,261036,frisbee,frisbee
"overflow,dive,destroy","ascend,ask,applaud",424746,261036,person,person
"yawn,drip,plow","call,talk,walk",459358,261036,person,person
"pump,buckle,suck","call,applaud,communicate",462921,261036,person,person
"ford,extinguish,stand","pick,work,throw",603128,261036,frisbee,frisbee
"din,spear,gather","slip,fetch,throw",604720,261036,frisbee,frisbee
"display,march,manicure","empty,open,carry",1184301,261318,suitcase,suitcase
"scratch,stitch,film","ascend,brush,carry",1185136,261318,suitcase,suitcase
"shout,juggle,stack","ask,pack,open",1835395,261318,handbag,handbag
"prowl,nail,wave","adjust,sit,assemble",1936867,261318,chair,chair
"press,bet,moisten","turn,ask,talk",323575,261318,cell phone,cell_phone
"sow,drive,dye","call,talk,sit",441426,261318,person,person
"grill,commute,brew","poop,pee,clean",1096724,262440,toilet,toilet
"baptize,cheer,brew","apply,wash,clean",1130746,262440,sink,sink
"steer,claw,whirl","tip,ask,arrange",81241,262440,bottle,bottle
"attack,land,recover","smile,pat,balloon",10416,263463,dog,dog
"congregate,massage,preach","bake,adjust,clean",145584,263463,car,car
"apprehend,gather,taste","board,wave,chase",2050159,263463,bus,bus
"dip,tear,bite","attach,sit,clean",574930,263463,bench,bench
"wilt,spank,spit","apprehend,assemble,eat",1084955,263969,cake,cake
"bulldoze,push,grind","adjust,tug,admire",294466,263969,tie,tie
"surf,discuss,ascend","whistle,talk,applaud",444839,263969,person,person
"caress,kick,smell","photograph,applaud,laugh",451357,263969,person,person
"bounce,mine,chisel","wipe,slice,aim",699803,263969,knife,knife
"plummet,rid,lap","urinate,sit,repair",1093657,268831,toilet,toilet
"sting,distract,ignite","wipe,walk,clean",1094709,268831,toilet,toilet
"crest,wink,rain","turn,wash,clean",1132340,268831,sink,sink
"sign,cling,ascend","drive,walk,sit",348515,26926,car,car
"talk,wave,drag","aim,drive,walk",350419,26926,car,car
"imitate,sharpen,retrieve","ask,attack,clean",417565,26926,fire hydrant,fire_hydrant
"buy,light,spread","twist,whip,arch",1109234,27186,remote,remote
"panhandle,clap,speak","snuggle,sit,rest",112314,27186,couch,couch
"gasp,frisk,pay","walk,jump,sit",114454,27186,couch,couch
"parade,fall,pounce","cheer,talk,smile",469199,27186,person,person
"soar,dial,camouflage","aim,hit,throw",306473,273493,sports ball,sports_ball
"record,overflow,count","apprehend,call,applaud",497651,273493,person,person
"strike,stir,jog","call,exercise,wave",502588,273493,person,person
"crest,strap,extinguish","break,attack,swing",659690,273493,tennis racket,tennis_racket
"unplug,sharpen,frisk","swing,hit,throw",660368,273493,tennis racket,tennis_racket
"shelve,snow,sniff","bake,bite,eat",1071975,27696,pizza,pizza
"yank,blossom,crush","slice,cook,lift",2104858,27696,knife,knife
"protest,wipe,gamble","talk,sit,eat",470823,27696,person,person
"congregate,skip,vacuum","pick,wash,eat",686088,27696,fork,fork
"board,push,stumble","call,applaud,attach",1718334,278705,person,person
"detain,clean,harvest","waddle,drive,admire",350898,278705,car,car
"attack,color,deflect","drive,walk,run",355725,278705,car,car
"inject,paint,reassure","arrest,skate,adjust",511685,278705,person,person
"rehabilitate,douse,storm","skate,jump,race",639264,278705,skateboard,skateboard
"complain,chew,surf","crouch,chase,admire",642054,278705,skateboard,skateboard
"erase,swim,cry","open,wash,put",1177693,281754,handbag,handbag
"release,interrogate,frisk","arch,fold,arrange",284193,281754,umbrella,umbrella
"seal,shush,crouch","talk,wave,walk",474226,281754,person,person
"light,whirl,baptize","talk,adjust,feed",510727,281754,person,person
"mop,clap,weld","adjust,sit,repair",125814,281929,bicycle,bicycle
"plant,catch,display","talk,walk,brush",2154526,281929,person,person
"exterminate,slice,smear","tie,adjust,wash",293663,281929,tie,tie
"encourage,curtsy,tickle","slice,taste,wash",1555905,283070,orange,orange
"fish,bother,protest","suck,squeeze,eat",1557320,283070,orange,orange
